#Sample	4.2-F_3.7-R	SEA-F_SEA-R	THAI-F_3.7-R	SEA-F_3.7-R	THAI-F_SEA-R	4.2-F_SEA-R	HBB-F_HBB-R	CHN-F_CHN-R	SEA-HPFH-F_HBB-R	HBB-F_CHN-R	HBA_reads	HBB_reads	HBA_base	HBB_base	All_base	All_reads
THAL00043-695	50	980	0	0	0	0	598	0	0	0	1030	598	1873920	2368425	4242345	1628
THAL00043-742	600	0	0	0	0	0	599	0	0	0	600	599	4576618	2364027	6940645	1199
